x,y
787.9830187168884,541.0
787.9957986114011,514.0
788.0090523368488,495.0
788.0218331985837,526.0
788.0350879271338,511.0
788.047869756201,509.0
788.0611254879673,497.0
788.0743817305057,516.0
788.0871650195731,541.0
788.1004222654997,527.0
788.113206522175,532.0
788.1264647716038,522.0
788.1392499959967,511.0
788.1525092490414,493.0
788.1652954412621,529.0
788.1785556980367,535.0
788.191816465845,537.0
788.2046041188136,521.0
788.217865890524,517.0
788.2306545115956,531.0
788.2439172873222,518.0
788.2567068766073,513.0
788.2699706564637,535.0
788.282761214072,532.0
788.2960259981726,558.0
788.3088175242142,475.0
788.3220833126729,529.0
788.3353496124851,512.0
788.3481426001887,547.0
788.3614099045312,527.0
788.3742038609439,501.0
788.3874721699308,511.0
788.4002670951629,531.0
788.4135364089083,538.0
788.4263323030697,537.0
788.4396026216878,529.0
788.4523994848886,511.0
788.4656708084934,546.0
788.4784686408437,545.0
788.4917409695496,523.0
788.5045397711594,506.0
788.5178131050803,522.0
788.5306128760599,547.0
788.5438872153103,541.0
788.5566879557696,520.0
788.5699633004635,508.0
788.5827650105128,553.0
788.5960413607646,557.0
788.6088440405141,544.0
788.6221213964378,503.0
788.6349250459976,517.0
788.6482034077078,552.0
788.6610080271881,535.0
788.674287394799,517.0
788.68709298431,523.0
788.7003733579357,531.0
788.7131799175876,525.0
788.7264612973428,531.0
788.739268827246,525.0
788.7525512132446,519.0
788.7653597135093,519.0
788.778643105866,531.0
788.7914525766024,541.0
788.8047369754314,531.0
788.8175474167498,524.0
788.8303583345762,529.0
788.8436442341765,556.0
788.8564561227495,527.0
788.869743029107,509.0
788.8825558885368,523.0
788.8958438017661,535.0
788.9086576321631,519.0
788.9219465523788,523.0
788.9347613538533,513.0
788.9480512811697,517.0
788.9608670538323,535.0
788.9736833033004,548.0
788.9869747323249,527.0
788.9997919531456,500.0
789.0130843895558,534.0
789.0259025818397,553.0
789.0391960257505,543.0
789.0520151896078,503.0
789.0653096411335,529.0
789.0781297766748,566.0
789.090950389265,555.0
789.1042463432658,544.0
789.1170679277046,529.0
789.1303648896059,534.0
789.143187446004,547.0
789.1560104795861,542.0
789.1693089443881,540.0
789.1821329500942,533.0
789.195432423082,555.0
789.2082574010227,534.0
789.2210828562827,525.0
789.234383832597,539.0
789.2472102602563,515.0
789.260512245042,549.0
789.2733396452114,547.0
789.2861675228353,534.0
789.2994710113734,535.0
789.3122998616722,544.0
789.3256043589677,536.0
789.338434182052,565.0
789.3512644827259,549.0
789.3645704841998,540.0
789.3774017578243,511.0
789.3907087683414,539.0
789.403541015027,551.0
789.4163737394379,552.0
789.4296822545596,527.0
789.4425159521966,549.0
789.4558254766473,543.0
789.4686601476212,563.0
789.4814952964558,521.0
789.4948063259376,525.0
789.5076424482742,549.0
789.5204790485521,564.0
789.5337915833204,534.0
789.5466291572657,543.0
789.5594672092335,533.0
789.5727812495435,569.0
789.5856202753438,561.0
789.5989353256114,549.0
789.6117753253548,530.0
789.6246158032562,549.0
789.6379323594924,539.0
789.6507738115023,562.0
789.6636157417515,539.0
789.6769338042117,537.0
789.6897767087345,533.0
789.7026200915777,550.0
789.7159396605174,551.0
789.7287840177996,561.0
789.7416288534835,543.0
789.7549499291583,537.0
789.7677957394465,565.0
789.7806420282174,562.0
789.7939646108831,559.0
789.8068118744237,545.0
789.8196596165283,563.0
789.8329837064406,564.0
789.8458324234804,573.0
789.8586816191652,549.0
789.87200721658,547.0
789.8848573873654,575.0
789.8977080368772,579.0
789.9105591651423,546.0
789.9238867668283,549.0
789.9367388704139,562.0
789.9495914528339,561.0
789.9629205626185,565.0
789.9757741205246,551.0
789.9886281573465,527.0
790.0019587754855,581.0
790.014813787959,580.0
790.0276692794297,560.0
790.040525249924,561.0
790.0538578734671,568.0
790.0667148198334,563.0
790.0795722453047,582.0
790.0929063777987,562.0
790.1057647793077,545.0
790.118623660003,567.0
790.1314830199117,567.0
790.1448191586029,579.0
790.1576794947694,574.0
790.1705403102303,560.0
790.1834016050127,569.0
790.1967397503539,591.0
790.2096020216146,589.0
790.222464772278,581.0
790.2358044275078,575.0
790.2486681548152,590.0
790.2615323616067,595.0
790.2743970479092,583.0
790.2877387105829,555.0
790.3006043737499,585.0
790.3134705165093,597.0
790.326337138888,614.0
790.3396808094585,598.0
790.3525484089222,558.0
790.3654164880866,589.0
790.3782850469785,581.0
790.3916307258993,593.0
790.4045002620968,579.0
790.4173702781032,570.0
790.4302407739456,577.0
790.4435884616702,595.0
790.4564599350388,577.0
790.4693318883247,603.0
790.4822043215547,585.0
790.4950772347559,587.0
790.5084274295139,605.0
790.5213013205167,612.0
790.5341756915719,599.0
790.5470505427068,589.0
790.5604027472881,605.0
790.5732785764454,621.0
790.5861548857637,609.0
790.5990316752698,601.0
790.6119089449903,602.0
790.6252636578779,604.0
790.6381419058968,623.0
790.6510206342119,632.0
790.6638998428502,616.0
790.6767795318384,619.0
790.690136753739,610.0
790.703017421301,644.0
790.7158985692947,609.0
790.7287801977469,609.0
790.7416623066846,599.0
790.7550220383054,611.0
790.7679051260926,641.0
790.7807886944469,633.0
790.7936727433952,610.0
790.8065572729641,621.0
790.8194422831809,633.5
790.8328050237071,640.0
790.8456910131042,630.0
790.8585774832309,621.0
790.8714644341137,663.0
790.8843518657798,631.0
790.8972397782559,645.0
790.9106055287041,617.0
790.9234944206916,629.0
790.9363837935708,662.0
790.9492736473688,652.0
790.9621639821124,638.0
790.9750547978288,652.0
790.988423559216,661.0
791.0013153547746,666.0
791.0142076313874,665.0
791.0271003890815,659.0
791.0399936278839,647.0
791.0528873478214,651.0
791.0662591211654,673.0
791.0791538212762,669.0
791.0920490026041,664.0
791.1049446651757,643.0
791.1178408090183,653.0
791.1307374341584,677.0
791.1436345406235,706.0
791.15653212844,660.0
791.1699079131466,663.0
791.1828064815777,679.0
791.1957055314424,693.0
791.2086050627673,707.0
791.2215050755798,688.0
791.2344055699066,693.0
791.2473065457748,707.0
791.2602080032111,719.0
791.2735878010857,737.0
791.286490239578,683.0
791.2993931597204,701.0
791.31229656154,715.0
791.3252004450638,731.0
791.3381048103187,704.0
791.3510096573315,702.0
791.3639149861295,720.0
791.3768207967396,752.0
791.3897270891887,753.0
791.4031119014363,729.0
791.4160191754927,739.0
791.4289269314702,741.0
791.4418351693957,753.0
791.4547438892961,764.0
791.4676530911985,759.0
791.4805627751297,739.0
791.493472941117,745.0
791.5063835891873,747.0
791.5192947193674,771.0
791.5322063316845,739.0
791.5451184261657,752.0
791.5580310028378,769.0
791.5714223324294,786.0
791.5843358914259,787.0
791.5972499326954,779.0
791.610164456265,771.0
791.6230794621617,800.0
791.6359949504124,807.0
791.6489109210443,781.0
791.6618273740843,778.0
791.6747443095594,798.0
791.6876617274968,843.0
791.7005796279233,827.0
791.713498010866,835.0
791.7264168763521,805.0
791.7393362244086,815.0
791.7522560550623,859.0
791.7651763683403,852.0
791.7785757215368,829.0
791.7914970180224,840.0
791.8044187972146,866.0
791.8173410591403,879.0
791.8302638038266,857.0
791.8431870313007,870.0
791.8561107415895,893.0
791.8690349347202,900.0
791.8819596107196,912.0
791.8948847696149,897.0
791.9078104114334,913.0
791.920736536202,905.0
791.9336631439475,919.0
791.9465902346972,911.0
791.9595178084783,953.0
791.9724458653178,921.0
791.9853744052425,953.0
791.9983034282799,951.0
792.0112329344568,958.0
792.0241629238003,949.0
792.0370933963375,952.0
792.0500243520956,974.0
792.0629557911017,989.0
792.0758877133827,1027.0
792.0888201189658,1030.0
792.1017530078782,978.0
792.1146863801468,1031.0
792.1276202357988,1079.0
792.1405545748613,1097.0
792.1534893973613,1053.0
792.1664247033261,1035.0
792.1793604927826,1097.0
792.1922967657581,1117.0
792.2052335222795,1075.0
792.2181707623741,1087.0
792.2311084860689,1106.0
792.2440466933913,1117.0
792.2569853843679,1192.0
792.2699245590262,1167.0
792.2828642173931,1184.0
792.2958043594961,1179.0
792.308744985362,1239.0
792.3212067860326,1251.0
792.334148361586,1257.0
792.347090420983,1201.0
792.3600329642504,1237.0
792.3729759914153,1245.0
792.385919502505,1327.0
792.3988634975467,1281.0
792.4118079765675,1303.0
792.4247529395943,1339.0
792.4376983866546,1383.0
792.4506443177753,1417.0
792.4635907329838,1398.0
792.4765376323069,1357.0
792.4894850157721,1391.0
792.5024328834062,1507.0
792.5153812352368,1554.0
792.5283300712906,1496.0
792.5412793915951,1515.0
792.5542291961774,1533.0
792.5666998360987,1618.0
792.5796505913793,1639.0
792.592601831018,1635.0
792.6055535550423,1645.0
792.6185057634792,1759.0
792.6314584563557,1791.0
792.6444116336993,1821.0
792.657365295537,1769.0
792.6703194418961,1857.0
792.6832740728037,1914.0
792.6962291882869,1998.0
792.709184788373,1979.0
792.7216610094572,2005.0
792.7346175608799,2073.0
792.7475745969862,2171.0
792.7605321178029,2231.0
792.7734901233576,2246.0
792.7864486136773,2348.0
792.7994075887893,2391.0
792.8123670487207,2459.0
792.825326993499,2518.0
792.837807398591,2562.0
792.8507682951843,2639.0
792.8637296767049,2737.0
792.8766915431801,2910.0
792.8896538946369,2954.0
792.9026167311026,3005.0
792.9155800526047,3086.0
792.9285438591702,3221.0
792.9415081508262,3441.0
792.9539927420311,3551.0
792.9669579859814,3536.0
792.9799237151028,3670.0
792.9928899294226,3893.0
793.0058566289684,4161.0
793.0188238137672,4319.0
793.0317914838462,4269.0
793.0442793285266,4428.0
793.057247951272,4863.0
793.0702170593784,5142.0
793.083186652873,5239.0
793.096156731783,5247.0
793.1091272961357,5593.0
793.1220983459585,6195.0
793.1345894453864,6497.0
793.147561448248,6555.0
793.1605339366603,6690.0
793.1735069106506,7154.0
793.1864803702463,7685.0
793.1994543154744,8090.0
793.2119482032241,8205.0
793.2249231018103,8444.0
793.2378984861098,9101.0
793.2508743561498,9674.0
793.2638507119577,10180.0
793.276827553561,10495.0
793.2893242305662,10691.0
793.3023020258465,11292.0
793.315280307003,12019.0
793.3282590740628,12579.0
793.3412383270529,12771.0
793.3542180660011,12902.0
793.366717533196,13418.0
793.3796982261408,14192.0
793.3926794051243,14758.0
793.405661070174,14856.0
793.418643221317,14460.0
793.4311450114942,14994.0
793.4441281168997,15550.0
793.4571117084796,15826.0
793.470095786261,15219.0
793.4830803502712,14917.0
793.4955844640783,15237.0
793.5085699826174,15560.0
793.521555987466,15186.0
793.5345424786518,14519.0
793.547529456202,14329.0
793.5600358942872,14306.0
793.5730238266323,14175.0
793.5860122454227,13588.0
793.599001150686,12888.0
793.6115094451895,12633.0
793.6244993054603,12499.0
793.6374896522847,12137.0
793.6504804856902,11634.0
793.663471805704,11017.0
793.6759824256512,10829.0
793.6889747009388,10626.0
793.701967462916,10288.0
793.7149607116097,9739.0
793.7274731889067,9465.0
793.7404673930871,9125.0
793.7534620840652,8913.0
793.7664572618685,8813.0
793.778971596929,8426.0
793.7919677304315,8036.0
793.8049643508404,7983.0
793.8179614581827,7796.0
793.8304776514204,7599.0
793.843475714675,7265.0
793.8564742649443,7018.0
793.8694733022556,6922.0
793.8819913540843,6933.0
793.8949913475208,6745.0
793.9079918280804,6479.0
793.9209927957905,6253.0
793.9335127066245,6309.0
793.9465146306726,6401.0
793.9595170419526,6231.0
793.9720383429674,5923.0
793.9850417107448,5870.0
793.9980455658349,6080.0
794.0110499082654,6107.0
794.0235730690091,5707.0
794.03657836815,5611.0
794.0495841547124,5743.0
794.0621087061784,5856.0
794.0751154496105,5887.0
794.0881226805454,5695.0
794.1011303990102,5613.0
794.1136568109296,5692.0
794.1266654864773,5825.0
794.1396746496366,5898.0
794.1526843004343,5819.0
794.1652125732214,5759.0
794.1782231813156,5829.0
794.1907523759944,5962.0
794.2037639414907,6097.0
794.2167759947606,6067.0
794.2297885358317,5947.0
794.2423195919986,6087.0
794.255333090685,6331.0
794.268347077254,6511.0
794.2808795254585,6531.0
794.2938944698026,6309.0
794.3069099021102,6536.0
794.3194437425843,6912.0
794.3324601328267,7070.0
794.345477011114,6954.0
794.35801224409,6977.0
794.3710300804715,7249.0
794.3840484049795,7768.0
794.3965850306893,7913.0
794.4096043134513,7909.0
794.4226240844208,7999.0
794.4351621030964,8402.0
794.4481828324797,8944.0
794.4612040501521,9071.0
794.4737434620258,9053.0
794.4867656382717,9356.0
794.4997883028879,9860.0
794.5123291081919,10365.0
794.5253527315414,10568.0
794.5383768433427,10764.0
794.5509190423094,11195.0
794.5639441130037,11809.0
794.5764872353998,12262.0
794.589513265093,12525.0
794.6025397833736,12864.0
794.6150842998185,13317.0
794.6281117772578,14043.0
794.6411397433658,14713.0
794.6536856540921,15101.0
794.6667145795188,15496.0
794.6797439936958,15946.0
794.6922912989357,16693.0
794.7053216725914,17286.0
794.7178699018247,17821.0
794.730901235065,18032.0
794.7439330571909,18579.0
794.7564826813245,19500.0
794.7695154631953,20169.0
794.7820660115784,20147.0
794.7950997532997,20169.0
794.8081339840422,20913.0
794.8206859277127,22031.0
794.8337211184659,22242.0
794.8467567983218,21772.0
794.8593101375121,21579.0
794.872346777539,22394.0
794.8849010413891,23062.0
794.8979386416929,22862.0
794.9109767312351,22177.0
794.9235323909919,21932.0
794.9365714409713,22425.0
794.9491280256447,22786.0
794.9621680361672,22166.0
794.9747255458591,21054.0
794.987766517031,20789.0
795.0008079776311,21088.0
795.0133668837711,20971.0
795.0264093051809,20226.0
795.038969136596,19303.0
795.0520125189215,18619.0
795.0645732757141,18567.0
795.0776176190616,18359.0
795.0906624520271,17774.0
795.1032246058097,16861.0
795.1162703999574,16102.0
795.1288334793741,16167.0
795.1418802348104,15963.0
795.1544442399634,15390.0
795.1674919567945,14215.0
795.1805401634338,13646.0
795.1931055661186,13531.0
795.206154734313,13383.0
795.218721062991,12847.0
795.2317711928468,12043.0
795.2443384476204,11504.0
795.2573895392442,11399.0
795.2699577202158,11496.0
795.2830097737135,10821.0
795.2955788809855,10088.0
795.3086318964638,9743.0
795.3212019301385,9798.0
795.3342559077037,9613.0
795.3473103754294,9053.0
795.3598818076418,8503.0
795.372937237615,8299.0
795.3855095964874,8275.0
795.3985659888143,8118.0
795.4111392744489,7675.0
795.4241966292361,7319.0
795.4367708417354,7075.0
795.4498291590893,7038.0
795.462404298556,6846.0
795.4754635785827,6514.0
795.4880396451192,6236.0
795.5010998879255,6092.0
795.5136768816342,6037.0
795.5267380873266,5851.0
795.5393160083102,5651.0
795.5523781769949,5445.0
795.564957025356,5253.0
795.5780201571398,5240.0
795.5905999329807,5130.0
795.6036640279701,4893.0
795.6162447313935,4719.0
795.6293097896948,4624.0
795.6418914208035,4573.0
795.6549574425235,4480.0
795.6675400014198,4299.0
795.680606986665,4083.0
795.6931904734516,4023.0
795.7062584223285,4118.0
795.7188428371082,3981.0
795.7314277071673,3787.0
795.7444970925989,3659.0
795.7575669690592,3715.0
795.7701532401329,3681.0
795.7827399665867,3537.0
795.7958112799196,3371.0
795.8083989347248,3295.0
795.821471212168,3340.0
795.8340597954274,3312.0
795.847133037088,3195.0
795.8597225489043,3030.0
795.8727967548889,2989.0
795.8853871953647,3057.0
795.8984623657798,3073.0
795.911053735018,2833.0
795.923645559913,2721.0
795.9367221680739,2718.0
795.9493149218844,2797.0
795.9623924947416,2758.0
795.9749861775706,2607.0
795.988064715231,2593.0
796.000659327181,2565.0
796.0137388297514,2574.0
796.0263343709255,2562.0
796.0389303679829,2501.0
796.0520113090136,2399.0
796.0646082354482,2355.0
796.0776901416548,2387.0
796.0902879975696,2392.0
796.1028863094933,2293.0
796.1159696545568,2225.0
796.1285688961141,2188.0
796.1416532066196,2245.0
796.1542533779133,2301.0
796.1673386539676,2167.0
796.1799397551006,2043.0
796.1925413124187,2057.0
796.205628027886,2151.0
796.218230515197,2117.0
796.2313181964794,1982.0
796.243921613886,1969.0
796.2565254876035,1929.0
796.2696146086956,1994.0
796.2822194126624,1931.0
796.295309499836,1879.0
796.307915234155,1813.0
796.3205214249108,1849.0
796.3336129522911,1855.0
796.3462200735527,1832.0
796.3588276513264,1756.0
796.3719206191512,1747.0
796.3845291275841,1708.0
796.3976230619163,1743.0
796.4102325011118,1683.0
796.422842396945,1708.0
796.435937772119,1654.0
796.4485485988683,1662.0
796.4616449408162,1647.0
796.4742566985848,1617.0
796.4868689131172,1621.0
796.4999666963042,1572.0
796.5125798420096,1552.0
796.5251934445542,1580.0
796.5382926692183,1547.0
796.5509072030895,1503.0
796.5635221938755,1500.0
796.5766228602548,1501.0
796.5892387825211,1475.0
796.6023404162603,1471.0
796.61495727011,1414.0
796.6275745810005,1414.0
796.6401923489569,1447.0
796.6532958994803,1429.0
796.6659145992246,1423.0
796.6790191174275,1369.0
796.6916387490628,1359.0
796.7042588378899,1365.0
796.7173647986821,1402.0
796.7299858195541,1344.0
796.7426072976937,1303.0
796.7552292331253,1305.0
796.7683371116514,1335.0
796.7809599793326,1321.0
796.7935833043815,1274.0
796.8066926260517,1291.0
796.8193168835041,1265.0
796.8319415983998,1267.0
796.8450523634522,1278.0
796.8576780109054,1264.0
796.8703041158774,1235.0
796.8834163245507,1253.0
796.8960433622342,1247.0
796.9086708575121,1251.0
796.9217845100446,1234.0
796.9344129381882,1210.0
796.9470418240016,1188.0
796.9601569206318,1181.0
796.9727867394649,1245.0
796.9854170160438,1237.0
796.998047750393,1177.0
797.0111647667628,1149.0
797.0237964343366,1177.0
