Date and Time:                Wed May 10 18:15:18.000 2023
Software Version:             4.32.30065.0
Temperature (C):              -80
Model:                        DU416_LD,DD
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      40
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Shutter Mode:                 Fully AUTO
TTL level:                    High
Time to open:                 10 ms
Time to close:                0 ms
Extended Data Range:          off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 32.25
Pixel Readout Time (usecs):   10
Serial Number:                26091
Pre-Amplifier Gain:           1.700000
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                
1150.6594	68496
1151.2642	68481
1151.8689	68461
1152.4724	68470
1153.077	68444
1153.6815	68447
1154.2848	68456
1154.8893	68502
1155.4938	68466
1156.0968	68486
1156.7012	68489
1157.3042	68482
1157.9083	68458
1158.5114	68470
1159.1154	68469
1159.7183	68468
1160.3223	68453
1160.925	68411
1161.5289	68470
1162.1316	68445
1162.7354	68500
1163.3379	68450
1163.9415	68465
1164.5439	68480
1165.1475	68479
1165.7499	68462
1166.3521	68492
1166.9556	68484
1167.5576	68444
1168.1598	68449
1168.7631	68485
1169.3651	68502
1169.967	68442
1170.5702	68435
1171.172	68452
1171.7738	68469
1172.3767	68512
1172.9785	68508
1173.5801	68481
1174.1816	68479
1174.7833	68461
1175.386	68471
1175.9874	68478
1176.5887	68453
1177.1901	68456
1177.7914	68478
1178.3926	68473
1178.995	68475
1179.5962	68458
1180.1973	68454
1180.7982	68448
1181.3992	68482
1182.0001	68474
1182.601	68455
1183.2019	68426
1183.8026	68438
1184.4033	68462
1185.0039	68426
1185.6046	68457
1186.2052	68471
1186.8057	68469
1187.4061	68448
1188.0065	68447
1188.6069	68454
1189.2073	68467
1189.8075	68467
1190.4077	68491
1191.0078	68455
1191.6079	68437
1192.208	68471
1192.8068	68484
1193.4067	68468
1194.0066	68444
1194.6064	68492
1195.2062	68436
1195.8048	68449
1196.4044	68458
1197.0042	68458
1197.6038	68464
1198.2032	68485
1198.8015	68449
1199.401	68471
1200.0002	68454
1200.5984	68448
1201.1978	68441
1201.797	68464
1202.3949	68464
1202.994	68465
1203.5931	68431
1204.191	68448
1204.7899	68451
1205.3877	68459
1205.9866	68432
1206.5853	68451
1207.1829	68509
1207.7816	68441
1208.3792	68445
1208.9777	68428
1209.5751	68460
1210.1736	68457
1210.7709	68427
1211.3693	68472
1211.9664	68465
1212.5647	68448
1213.1617	68457
1213.7599	68459
1214.3569	68453
1214.9539	68446
1215.5519	68450
1216.1487	68449
1216.7466	68463
1217.3433	68446
1217.9399	68434
1218.5378	68464
1219.1343	68448
1219.7307	68460
1220.3273	68440
1220.9248	68458
1221.5212	68466
1222.1176	68467
1222.7148	68481
1223.311	68459
1223.9072	68468
1224.5033	68450
1225.0994	68458
1225.6965	68441
1226.2925	68419
1226.8883	68437
1227.4841	68436
1228.08	68439
1228.6757	68459
1229.2714	68436
1229.8671	68452
1230.4637	68449
1231.0593	68444
1231.6548	68437
1232.2502	68413
1232.8456	68465
1233.4409	68472
1234.0363	68433
1234.6315	68436
1235.2267	68488
1235.8217	68414
1236.4167	68441
1237.0118	68444
1237.6068	68446
1238.2017	68444
1238.7954	68442
1239.3903	68467
1239.985	68436
1240.5797	68431
1241.1743	68448
1241.769	68456
1242.3635	68441
1242.9569	68441
1243.5514	68459
1244.1458	68437
1244.7401	68458
1245.3344	68433
1245.9275	68436
1246.5216	68458
1247.1158	68422
1247.71	68460
1248.3027	68430
1248.8969	68454
1249.4907	68455
1250.0835	68455
1250.6774	68444
1251.2711	68408
1251.8636	68444
1252.4574	68454
1253.051	68440
1253.6434	68445
1254.2371	68453
1254.8293	68450
1255.4229	68450
1256.0151	68457
1256.6084	68482
1257.2006	68482
1257.7937	68436
1258.3857	68433
1258.979	68433
1259.5708	68427
1260.1639	68421
1260.7557	68425
1261.3486	68459
1261.9403	68469
1262.5332	68445
1263.1248	68447
1263.7163	68460
1264.3091	68448
1264.9005	68466
1265.4918	68462
1266.0845	68440
1266.6758	68433
1267.2671	68463
1267.8594	68450
1268.4506	68435
1269.0416	68421
1269.6339	68449
1270.2249	68434
1270.8158	68452
1271.4067	68450
1271.9977	68448
1272.5896	68440
1273.1804	68455
1273.7711	68465
1274.3617	68454
1274.9523	68455
1275.5428	68456
1276.1345	68460
1276.7251	68450
1277.3154	68468
1277.9058	68459
1278.4961	68480
1279.0863	68445
1279.6765	68451
1280.2667	68458
1280.8568	68430
1281.4469	68463
1282.0369	68456
1282.6268	68466
1283.2168	68433
1283.8066	68464
1284.3964	68452
1284.9861	68452
1285.5758	68432
1286.1654	68459
1286.7551	68453
1287.3434	68432
1287.933	68451
1288.5223	68421
1289.1118	68434
1289.7012	68425
1290.2904	68461
1290.8785	68453
1291.4678	68427
1292.0569	68440
1292.646	68440
1293.235	68427
1293.8229	68438
1294.4119	68462
1295.0007	68437
1295.5884	68469
1296.1772	68429
1296.766	68478
1297.3534	68468
1297.9421	68484
1298.5308	68473
1299.118	68466
1299.7065	68445
1300.295	68423
1300.8823	68431
1301.4706	68455
1302.0577	68426
1302.646	68419
1303.233	68419
1303.8212	68433
1304.4081	68431
1304.9961	68441
1305.583	68467
1306.171	68455
1306.7577	68454
1307.3456	68424
1307.9321	68435
1308.5199	68459
1309.1064	68476
1309.6929	68463
1310.2805	68463
1310.8669	68454
1311.4545	68455
1312.0408	68449
1312.627	68461
1313.2142	68446
1313.8004	68461
1314.3865	68463
1314.9725	68478
1315.5597	68473
1316.1456	68469
1316.7316	68462
1317.3174	68453
1317.9043	68463
1318.4901	68474
1319.0757	68477
1319.6614	68421
1320.2469	68474
1320.8336	68458
1321.4192	68481
1322.0046	68477
1322.59	68467
1323.1753	68454
1323.7606	68494
1324.3458	68507
1324.9312	68513
1325.5162	68501
1326.1013	68484
1326.6863	68523
1327.2714	68576
1327.8563	68592
1328.4412	68658
1329.026	68846
1329.6108	69072
1330.1956	69333
1330.7803	69557
1331.3649	69620
1331.9495	69776
1332.5341	69826
1333.1185	69861
1333.703	69849
1334.2863	69933
1334.8706	69840
1335.455	69815
1336.0392	69835
1336.6234	69826
1337.2075	69845
1337.7905	69895
1338.3745	69864
1338.9585	69870
1339.5425	69912
1340.1252	69913
1340.709	69997
1341.2928	69911
1341.8755	70010
1342.4592	69981
1343.0428	70013
1343.6252	70001
1344.2089	70010
1344.7924	69939
1345.3746	70050
1345.9581	69977
1346.5403	69997
1347.1237	69924
1347.7058	70000
1348.2889	69926
1348.8721	69930
1349.454	69863
1350.0371	69878
1350.6189	69886
1351.2019	69854
1351.7837	69847
1352.3654	69826
1352.9482	69801
1353.5299	69816
1354.1125	69837
1354.6941	69822
1355.2767	69802
1355.8582	69777
1356.4395	69799
1357.022	69689
1357.6033	69745
1358.1844	69748
1358.7667	69713
1359.3479	69766
1359.929	69707
1360.51	69748
1361.0922	69760
1361.6731	69748
1362.254	69675
1362.8347	69658
1363.4167	69709
1363.9974	69721
1364.5781	69724
1365.1588	69726
1365.7394	69688
1366.3199	69708
1366.9004	69660
1367.4819	69664
1368.0624	69649
1368.6427	69642
1369.223	69722
1369.8032	69668
1370.3834	69705
1370.9636	69662
1371.5437	69664
1372.1237	69673
1372.7037	69653
1373.2837	69667
1373.8635	69679
1374.4434	69639
1375.0232	69613
1375.603	69622
1376.1826	69605
1376.7623	69588
1377.3408	69623
1377.9203	69623
1378.4999	69592
1379.0792	69650
1379.6587	69610
1380.238	69614
1380.8163	69565
1381.3955	69523
1381.9747	69598
1382.5538	69621
1383.1331	69604
1383.7109	69640
1384.2899	69608
1384.8689	69596
1385.4468	69593
1386.0255	69598
1386.6044	69604
1387.182	69643
1387.7607	69580
1388.3395	69548
1388.9169	69541
1389.4955	69545
1390.074	69569
1390.6514	69558
1391.2297	69552
1391.807	69549
1392.3854	69563
1392.9625	69565
1393.5408	69554
1394.1178	69542
1394.6959	69527
1395.2729	69588
1395.851	69551
1396.4279	69528
1397.0057	69525
1397.5825	69550
1398.1592	69543
1398.7369	69560
1399.3136	69516
1399.8914	69538
1400.4678	69536
1401.0443	69557
1401.6218	69487
1402.1982	69531
1402.7745	69504
1403.3519	69535
1403.9282	69542
1404.5044	69523
1405.0804	69542
1405.6577	69504
1406.2338	69532
1406.8097	69533
1407.3856	69466
1407.9615	69569
1408.5386	69552
1409.1143	69516
1409.6901	69556
1410.2657	69517
1410.8413	69560
1411.417	69511
1411.9924	69497
1412.568	69489
1413.1434	69491
1413.7188	69597
1414.2942	69504
1414.8695	69491
1415.4447	69486
1416.0199	69501
1416.5951	69445
1417.1702	69440
1417.7452	69537
1418.3202	69497
1418.8951	69476
1419.4701	69494
1420.045	69489
1420.6199	69534
1421.1946	69482
1421.7694	69479
1422.344	69494
1422.9175	69503
1423.4921	69462
1424.0665	69483
1424.6411	69511
1425.2155	69503
1425.7888	69514
1426.3632	69529
1426.9374	69533
1427.5116	69495
1428.0847	69450
1428.6588	69457
1429.2329	69544
1429.8059	69524
1430.3799	69494
1430.9539	69496
1431.5265	69509
1432.1003	69519
1432.673	69512
1433.2468	69488
1433.8206	69483
1434.3931	69506
1434.9667	69469
1435.5391	69476
1436.1125	69440
1436.6849	69483
1437.2584	69417
1437.8306	69435
1438.4039	69471
1438.9761	69493
1439.5493	69428
1440.1213	69508
1440.6934	69474
1441.2665	69497
1441.8383	69423
1442.4114	69520
1442.9832	69463
1443.5549	69469
1444.1277	69466
1444.6995	69577
1445.271	69471
1445.8425	69491
1446.4153	69437
1446.9868	69479
1447.5581	69501
1448.1306	69472
1448.7019	69416
1449.2733	69459
1449.8445	69434
1450.4156	69454
1450.9868	69455
1451.5591	69451
1452.1301	69452
1452.701	69472
1453.2721	69488
1453.8429	69509
1454.4137	69432
1454.9846	69483
1455.5553	69440
1456.1261	69468
1456.6967	69463
1457.2673	69465
1457.8379	69495
1458.4084	69472
1458.9789	69474
1459.5493	69465
1460.1196	69533
1460.6899	69483
1461.2603	69455
1461.8304	69461
1462.4006	69483
1462.9708	69493
1463.5409	69475
1464.111	69466
1464.6798	69477
1465.2498	69447
1465.8197	69452
1466.3895	69510
1466.9592	69487
1467.528	69499
1468.0977	69510
1468.6674	69600
1469.2369	69469
1469.8054	69508
1470.3749	69480
1470.9443	69465
1471.5126	69494
1472.0819	69515
1472.6512	69462
1473.2195	69490
1473.7887	69487
1474.3579	69487
1474.9258	69487
1475.495	69450
1476.0629	69472
1476.632	69473
1477.1997	69436
1477.7687	69515
1478.3363	69460
1478.9052	69467
1479.4727	69412
1480.0415	69499
1480.609	69513
1481.1776	69430
1481.745	69461
1482.3136	69482
1482.8809	69430
1483.4482	69421
1484.0166	69458
1484.5839	69449
1485.1509	69486
1485.7192	69448
1486.2863	69394
1486.8533	69470
1487.4213	69440
1487.9883	69421
1488.5552	69441
1489.1219	69463
1489.6899	69454
1490.2566	69381
1490.8232	69383
1491.3899	69406
1491.9564	69372
1492.5242	69410
1493.0907	69450
1493.6571	69452
1494.2235	69476
1494.7899	69475
1495.3562	69414
1495.9224	69433
1496.4886	69413
1497.0547	69494
1497.6208	69372
1498.187	69449
1498.7529	69428
1499.319	69406
1499.8849	69454
1500.4508	69468
1501.0166	69417
1501.5824	69398
1502.1482	69397
1502.7139	69449
1503.2794	69423
1503.8451	69465
1504.4106	69422
1504.9761	69374
1505.5404	69379
1506.106	69368
1506.6713	69402
1507.2366	69401
1507.8019	69373
1508.366	69322
1508.9312	69402
1509.4962	69425
1510.0613	69395
1510.6252	69344
1511.1902	69347
1511.7552	69407
1512.319	69414
1512.8838	69363
1513.4486	69347
1514.0122	69308
1514.5769	69375
1515.1416	69367
1515.7051	69379
1516.2697	69363
1516.833	69352
1517.3975	69320
1517.9608	69377
1518.5253	69327
1519.0884	69352
1519.6527	69394
1520.2158	69327
1520.78	69320
1521.343	69314
1521.9071	69314
1522.47	69325
1523.033	69336
1523.5969	69301
1524.1597	69351
1524.7235	69298
1525.2863	69259
1525.8489	69319
1526.4126	69307
1526.9752	69304
1527.5376	69305
1528.1001	69281
1528.6637	69270
1529.2261	69286
1529.7883	69298
1530.3507	69295
1530.9139	69304
1531.4762	69255
1532.0383	69281
1532.6003	69296
1533.1625	69276
1533.7245	69339
1534.2876	69297
1534.8495	69321
1535.4113	69301
1535.973	69259
1536.5348	69225
1537.0966	69244
1537.6582	69247
1538.2198	69256
1538.7815	69226
1539.343	69238
1539.9044	69268
1540.4659	69232
1541.0273	69264
1541.5886	69252
1542.1499	69279
1542.7112	69209
1543.2723	69214
1543.8335	69223
1544.3934	69226
1544.9546	69226
1545.5156	69190
1546.0765	69216
1546.6376	69186
1547.1984	69192
1547.7581	69226
1548.3188	69189
1548.8796	69181
1549.4403	69217
1549.9999	69168
1550.5604	69174
1551.1211	69204
1551.6804	69181
1552.2408	69183
1552.8013	69169
1553.3606	69192
1553.9209	69117
1554.4812	69165
1555.0403	69123
1555.6005	69158
1556.1594	69217
1556.7196	69149
1557.2784	69204
1557.8385	69177
1558.3973	69112
1558.9573	69179
1559.516	69171
1560.0759	69191
1560.6345	69156
1561.1942	69172
1561.7528	69152
1562.3124	69127
1562.8708	69157
1563.4293	69097
1563.9888	69143
1564.5471	69144
1565.1055	69120
1565.6647	69156
1566.223	69100
1566.7811	69126
1567.3403	69084
1567.8983	69076
1568.4563	69086
1569.0143	69083
1569.5734	69142
1570.1313	69096
1570.6891	69061
1571.2468	69100
1571.8046	69058
1572.3634	69094
1572.921	69058
1573.4785	68996
1574.0363	69102
1574.5936	69015
1575.1511	69120
1575.7085	69065
1576.2659	69113
1576.8232	69100
1577.3805	69055
1577.9377	69048
1578.4949	69077
1579.0521	69023
1579.6091	69062
1580.1661	69030
1580.7231	69011
1581.28	69058
1581.837	69064
1582.3939	69070
1582.9507	69027
1583.5074	69034
1584.0631	69038
1584.6198	69034
1585.1764	69008
1585.7329	69061
1586.2894	69039
1586.8461	69003
1587.4014	69009
1587.9578	69008
1588.5142	69039
1589.0693	69023
1589.6255	69020
1590.1818	68978
1590.738	69011
1591.293	69012
1591.849	68979
1592.4041	69004
1592.96	68997
1593.5159	69013
1594.0707	69023
1594.6266	68992
1595.1812	68990
1595.7371	68977
1596.2927	68955
1596.8473	68969
1597.403	68973
1597.9574	68969
1598.5118	68996
1599.0674	69031
1599.6216	68968
1600.177	68947
1600.7313	68961
1601.2866	68999
1601.8408	69004
1602.3948	68970
1602.95	68950
1603.504	68975
1604.058	68922
1604.613	68942
1605.1669	68929
1605.7208	68959
1606.2756	68925
1606.8293	68925
1607.3831	68926
1607.9366	68915
1608.4915	68954
1609.045	68890
1609.5985	68891
1610.152	68926
1610.7053	68911
1611.2588	68865
1611.812	68929
1612.3666	68911
1612.9198	68898
1613.473	68903
1614.0261	68887
1614.5792	68896
1615.1322	68892
1615.6853	68868
1616.2383	68905
1616.7911	68918
1617.344	68870
1617.8969	68880
1618.4497	68895
1619.0023	68861
1619.5551	68889
1620.1077	68902
1620.6592	68890
1621.2118	68871
1621.7643	68902
1622.3169	68871
1622.8693	68884
1623.4216	68865
1623.9728	68852
1624.5251	68849
1625.0773	68855
1625.6296	68839
1626.1816	68888
1626.7327	68852
1627.2848	68811
1627.8368	68849
1628.3877	68847
1628.9396	68881
1629.4915	68884
1630.0422	68847
1630.594	68850
1631.1458	68857
1631.6964	68880
1632.248	68817
1632.7986	68826
1633.3501	68862
1633.9005	68857
1634.452	68828
1635.0023	68810
1635.5537	68803
1636.104	68798
1636.6553	68803
1637.2054	68801
1637.7566	68796
1638.3066	68770
1638.8578	68818
1639.4077	68804
1639.9576	68811
1640.5087	68742
1641.0585	68774
1641.6083	68798
1642.1592	68796
1642.7089	68771
1643.2584	68774
1643.8081	68780
1644.3588	68770
1644.9082	68745
1645.4578	68763
1646.0072	68781
1646.5576	68820
1647.1069	68793
1647.6563	68782
1648.2056	68752
1648.7548	68827
1649.3038	68777
1649.853	68817
1650.4032	68789
1650.9521	68785
1651.5012	68779
1652.0502	68770
1652.599	68797
1653.1479	68796
1653.6967	68740
1654.2454	68772
1654.7942	68736
1655.3429	68774
1655.8914	68706
1656.4399	68755
1656.9874	68742
1657.5359	68726
1658.0844	68765
1658.6328	68725
1659.181	68733
1659.7294	68752
1660.2777	68774
1660.8248	68697
1661.373	68761
1661.9211	68740
1662.4691	68716
1663.0172	68730
1663.5641	68733
1664.1121	68747
1664.66	68717
1665.2068	68726
1665.7546	68689
1666.3022	68684
1666.8489	68726
1667.3966	68725
1667.9443	68742
1668.4907	68708
1669.0383	68713
1669.5847	68733
1670.1322	68685
1670.6786	68701
1671.226	68715
1671.7722	68721
1672.3193	68731
1672.8656	68658
1673.4127	68670
1673.9587	68693
1674.5059	68705
1675.0519	68712
1675.5989	68662
1676.1448	68674
1676.6906	68720
1677.2374	68692
1677.7832	68699
1678.3289	68694
1678.8756	68687
1679.4213	68668
1679.9668	68655
1680.5134	68671
1681.059	68665
1681.6044	68667
1682.1498	68656
1682.6951	68664
1683.2415	68678
1683.7867	68686
1684.3319	68666
1684.8771	68690
1685.4222	68673
1685.9673	68658
1686.5134	68660
1687.0583	68670
1687.6033	68709
1688.1482	68664
1688.6931	68670
1689.2379	68674
1689.7826	68659
1690.3273	68665
1690.8721	68657
1691.4167	68673
1691.9613	68701
1692.5059	68675
1693.0503	68697
1693.5936	68678
1694.1381	68676
1694.6824	68652
1695.2267	68640
1695.771	68636
1696.3152	68662
1696.8595	68667
1697.4026	68656
1697.9467	68685
1698.4907	68637
1699.0347	68639
1699.5775	68646
1700.1216	68640
1700.6654	68644
1701.2092	68610
